,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
168,Republican,Rick Santorum,Republican,Ben Carson,0.036259461704422978,0.72299311734772664,0.33554926923598838,0.11928860178988293,0.10463486182497657
169,Republican,Rick Santorum,Democrat,Bernie Sanders,0.09322345701719903,0.36123488928897651,0.72627356709621682,0.66627949709364021,0.46585420788107479
170,Republican,Rick Santorum,Republican,Carly Fiorina,0.036432112689465682,0.72172799787587516,0.16933905030007756,0.060487481689674334,0.01962023219822254
171,Republican,Rick Santorum,Republican,Chris Christie,-0.021938745317030522,0.83021821066466572,0.08174075089747615,-0.017574807062221469,0.012940874858305255
172,Republican,Rick Santorum,Republican,Donald Trump,-0.0885561985979786,0.38587689633918443,0.51822770202509316,-0.45142419395746319,0.2738259621008608
173,Republican,Rick Santorum,Democrat,Hillary Clinton,-0.068462397749684628,0.50296369925233342,0.71190442414489252,-0.47866271215391515,0.52360827342039473
174,Republican,Rick Santorum,Republican,Jeb Bush,-0.10033785354615467,0.32559116655528197,0.11184487849447357,-0.11051310320553635,0.024777472735083881
175,Republican,Rick Santorum,Republican,John Kasich,0.055465290286190065,0.58750770431634081,0.090280807278631053,0.049138444178739839,0.011866259828051161
176,Republican,Rick Santorum,Republican,Marco Rubio,0.055634910389050933,0.58636393750560623,0.52330038274481239,0.28569801808516709,0.18526838408463894
177,Republican,Rick Santorum,Democrat,Martin O'Malley,-0.095782777886763648,0.34814446358587336,0.20840726000872686,-0.19648855831094683,0.010177166312106295
178,Republican,Rick Santorum,Republican,Mike Huckabee,-0.07741249136536571,0.44866061512310695,0.16521659433101174,-0.1256913927234895,0.02531685585179894
179,Republican,Rick Santorum,Republican,Rand Paul,-0.044911886717624742,0.66057303432189973,0.16761218604122921,-0.073831374193181074,0.034982458319746168
180,Republican,Rick Santorum,Republican,Rick Santorum,1.0,0.0,0.0,1.0,0.0
181,Republican,Rick Santorum,Republican,Ted Cruz,-0.14263406639816825,0.16119519773764579,0.52459598382381301,-0.74070818905055424,0.30624646241918874
182,Republican,Ted Cruz,Republican,Ben Carson,-0.05590571187706242,0.58454000303851006,0.064556258441758621,-0.035416847004630346,0.11641074692065928
183,Republican,Ted Cruz,Democrat,Bernie Sanders,-0.20364348437328494,0.044301230924677984,0.13752271890986884,-0.28027081883831961,0.5562682803195701
184,Republican,Ted Cruz,Republican,Carly Fiorina,-0.19275597391858024,0.057226420653167846,0.032018417873218415,-0.061626160600753301,0.038641279239941449
185,Republican,Ted Cruz,Republican,Chris Christie,-0.23927060229414818,0.017651751512278175,0.015286830642199494,-0.036910016554305307,0.023795751579856528
186,Republican,Ted Cruz,Republican,Donald Trump,-0.24277695363659293,0.016010055518616145,0.097188498832616432,-0.23831393680573879,0.3405357170125477
187,Republican,Ted Cruz,Democrat,Hillary Clinton,0.16064967434171315,0.11405470710286601,0.13562514068676779,0.21628851515078812,0.45418936996713133
188,Republican,Ted Cruz,Republican,Jeb Bush,-0.23348949727973317,0.020675865171976462,0.021048262529635053,-0.049521345457162726,0.038472771881672703
189,Republican,Ted Cruz,Republican,John Kasich,-0.40919574459313091,2.8698371819164988e-05,0.015887226292920588,-0.069808344329550631,0.033219152861015816
190,Republican,Ted Cruz,Republican,Marco Rubio,-0.49399342106624888,2.3517122291464303e-07,0.087751138582309859,-0.488491619682829,0.33410667413929601
191,Republican,Ted Cruz,Democrat,Martin O'Malley,0.15150630424489009,0.13643387625589773,0.039851787783587625,0.05984896715529852,-0.0096713949089513047
